run_uid,config_id,demand_uid,category,avg_confidence,saving_pct,duration_s,first_pass,loop_count,node_count
run_31309ec6716d,A1,demand_8dd0881fd65b,MRO备件,0.333,12.0,0.0,1,1,3
run_84e296a1cf44,A1,demand_b4f604c303fd,MRO备件,0.333,12.0,0.0,1,1,3
run_6bc4488ae858,A1,demand_d9904e53762d,MRO备件,0.25,10.0,0.0,1,1,4
run_b85637d068b3,A1,demand_25d91624ae9d,MRO备件,0.71,8.0,8.2,1,1,3
run_9f007689f8f6,A1,demand_f110b20a0192,MRO备件,0.833,15.0,127.0,1,1,3
run_740ea09b0212,A1,demand_ddb5a9c11599,MRO备件,0.0,0,0.0,1,1,0
run_3e3eb4625b9c,A1,demand_9ecbe2289778,MRO备件,0.71,8.0,8.5,1,1,3
run_e521888685cb,A1,demand_fe17030e9d85,MRO备件,0.71,8.0,8.3,1,1,3
run_72df0eed638b,A1,demand_987161b05538,MRO备件,0.575,15.0,97.1,1,1,4
run_16475865b093,A1,demand_9bb5d9aa5e3c,MRO备件,0.7,25.0,82.7,1,1,3
run_475518f45e65,A1,demand_527132ac05f4,MRO备件,0.667,15.0,109.9,1,1,3
run_ae478940eec8,A1,demand_d53a76e2222f,包装辅料,0.575,10.0,93.2,1,1,4
run_72166f499bbb,A1,demand_21a31ad7dfc3,包装辅料,0.7,20.0,82.3,1,1,3
run_b50f554a7dc0,A1,demand_db43284f201c,包装辅料,0.7,15.0,93.7,1,1,3
run_64ac38f9cc0e,A1,demand_ff49a73f4adf,包装辅料,0.667,20.0,82.9,1,1,3
run_563f8bac8238,A1,demand_588df4b17330,包装辅料,0.7,20.0,112.1,1,1,3
run_ab09edc22733,A1,demand_251e819ebfb6,包装辅料,0.7,12.0,110.3,1,1,3
