run_uid,demand_uid,category,factory_city,item_name,spec,quantity,budget_hint,required_date,execution_path,duration_s,loop_count,first_pass,avg_confidence,saving_pct,saving_amount_hint,status,human_in_loop,judgment_count,judgment_summary,started_at
run_31309ec6716d,demand_8dd0881fd65b,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,0.0,1,1,0.333,12.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:27:56
run_84e296a1cf44,demand_b4f604c303fd,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,0.0,1,1,0.333,12.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:40:01
run_6bc4488ae858,demand_d9904e53762d,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,0.0,1,1,0.25,10.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:41:43
run_b85637d068b3,demand_25d91624ae9d,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,8.2,1,1,0.71,8.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:46:13
run_9f007689f8f6,demand_f110b20a0192,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,127.0,1,1,0.833,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:47:11
run_740ea09b0212,demand_ddb5a9c11599,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,0.0,1,1,0.0,0,,failed,0,0,[],2026-04-21 09:48:03
run_3e3eb4625b9c,demand_9ecbe2289778,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,8.5,1,1,0.71,8.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:55:41
run_e521888685cb,demand_fe17030e9d85,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,8.3,1,1,0.71,8.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-21 09:56:46
run_72df0eed638b,demand_987161b05538,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,97.1,1,1,0.575,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 09:44:17
run_16475865b093,demand_9bb5d9aa5e3c,MRO备件,东莞,轴承,"6205 2RS, 25×52×15mm",50.0,单价不高于20元,2026-04-28,langgraph,82.7,1,1,0.7,25.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 09:45:57
run_475518f45e65,demand_527132ac05f4,MRO备件,东莞,气动电磁阀,"4V210-08, DC24V",30.0,单价不高于65元,2026-04-25,langgraph,109.9,1,1,0.667,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 10:00:02
run_ae478940eec8,demand_d53a76e2222f,包装辅料,东莞,打包带,"PP, 16mm×1000m",50.0,单价不高于80元/卷,2026-05-01,langgraph,93.2,1,1,0.575,10.0,,completed,0,1,"[{""round"": 1, ""category"": ""包装辅料"", ""supplier"": """"}]",2026-04-22 10:55:34
run_72166f499bbb,demand_21a31ad7dfc3,包装辅料,东莞,封箱胶带,"透明, 48mm×100m",200.0,单价不高于5元/卷,2026-05-01,langgraph,82.3,1,1,0.7,20.0,,completed,0,1,"[{""round"": 1, ""category"": ""包装辅料"", ""supplier"": """"}]",2026-04-22 10:57:10
run_b50f554a7dc0,demand_db43284f201c,包装辅料,苏州,珍珠棉,"EPE 10mm厚, 1m×1m",100.0,单价不高于3元/张,2026-05-10,langgraph,93.7,1,1,0.7,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""包装辅料"", ""supplier"": """"}]",2026-04-22 10:58:32
run_64ac38f9cc0e,demand_ff49a73f4adf,包装辅料,苏州,热收缩膜,"PE, 500mm宽",30.0,单价不高于150元/卷,2026-05-10,langgraph,82.9,1,1,0.667,20.0,,completed,0,1,"[{""round"": 1, ""category"": ""包装辅料"", ""supplier"": """"}]",2026-04-22 11:00:06
run_563f8bac8238,demand_588df4b17330,包装辅料,东莞,气泡膜,"双层, 60cm×50m",40.0,单价不高于25元/卷,2026-05-05,langgraph,112.1,1,1,0.7,20.0,,completed,0,1,"[{""round"": 1, ""category"": ""包装辅料"", ""supplier"": """"}]",2026-04-22 11:01:29
run_ab09edc22733,demand_251e819ebfb6,包装辅料,苏州,纸箱,"5层瓦楞, 400×300×250mm",500.0,单价不高于4元/个,2026-05-15,langgraph,110.3,1,1,0.7,12.0,,completed,0,1,"[{""round"": 1, ""category"": ""包装辅料"", ""supplier"": """"}]",2026-04-22 11:03:21
run_77ae14f0c44e,demand_aa425a08ff02,MRO备件,东莞,轴承,"6204-2RS, 内径20mm",10.0,单价不超过25元,2026-05-01,langgraph,0.0,1,1,0.4,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 11:11:56
run_7bc5bb05008e,demand_4ad993df99ae,MRO备件,苏州,工业手套,"丁腈橡胶, M码",100.0,单价不超过5元,2026-05-10,langgraph,0.0,1,1,0.4,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 11:11:59
run_d5f0e8a3f713,demand_324e5fb13c34,MRO备件,东莞,切削液,"水溶性, 20L桶",5.0,单价不超过200元/桶,2026-05-05,langgraph,0.0,1,1,0.4,15.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 11:11:59
run_f791be035768,demand_d4a010734c48,MRO备件,东莞,轴承,"6204-2RS, 内径20mm",10.0,单价不超过25元,2026-05-01,langgraph,0.1,1,1,0.267,0,,completed,0,0,[],2026-04-22 11:12:07
run_b232cd7ea43c,demand_5c76ffbe64b4,MRO备件,苏州,工业手套,"丁腈橡胶, M码",100.0,单价不超过5元,2026-05-10,langgraph,0.0,1,1,0.267,0,,completed,0,0,[],2026-04-22 11:12:10
run_8e3aaac5f376,demand_56f96049a8e4,MRO备件,东莞,切削液,"水溶性, 20L桶",5.0,单价不超过200元/桶,2026-05-05,langgraph,0.0,1,1,0.267,0,,completed,0,0,[],2026-04-22 11:12:10
run_dc4a26c5b27d,demand_bc97ca95d06a,MRO备件,东莞,轴承,"6204-2RS, 内径20mm",10.0,单价不超过25元,2026-05-01,langgraph,69.8,1,1,0.7,20.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 11:13:07
run_0b4500a04ec7,demand_995d03c07e5d,MRO备件,苏州,工业手套,"丁腈橡胶, M码",100.0,单价不超过5元,2026-05-10,langgraph,81.6,1,1,0.575,10.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 11:14:19
run_ba300d186098,demand_0303d1b646f2,MRO备件,东莞,切削液,"水溶性, 20L桶",5.0,单价不超过200元/桶,2026-05-05,langgraph,111.5,1,1,0.7,8.0,,completed,0,1,"[{""round"": 1, ""category"": ""MRO备件"", ""supplier"": """"}]",2026-04-22 11:15:41
